date,y,Dp,eq,ep,r,ys,Dps,eqs,rs,lrs,poil,pmat,pmetal
2003Q1,4.672927069,0.002527621,1.425490915,-3.308640827,0.006894867,4.698952585,0.00766565,1.271785437,0.007220571,0.008575894,3.426885434,4.557686559,4.055039985
2003Q2,4.688907017,0.002272216,1.437124616,-3.310430682,0.006858384,4.702312168,0.001346334,1.341563254,0.006532224,0.007990678,3.250070331,4.52780416,4.049211667
2003Q3,4.712163508,0.003410719,1.541164211,-3.314236042,0.00691189,4.726937832,0.003246383,1.469914463,0.005787519,0.008987805,3.341597487,4.555942701,4.100964804
2003Q4,4.727963923,-0.000729488,1.615728933,-3.31328729,0.006836492,4.744642583,0.008320731,1.557192113,0.005600049,0.009389752,3.371513673,4.590755284,4.210416677
2004Q1,4.745585468,0.00636742,1.695605589,-3.31965471,0.006246313,4.762541693,0.007538637,1.617944359,0.005601784,0.009116232,3.441436699,4.606688058,4.373146625
2004Q2,4.763653035,0.003801082,1.631063238,-3.323455792,0.006286948,4.77565841,0.007962573,1.604472386,0.005508087,0.009777594,3.561528671,4.596600063,4.373268298
2004Q3,4.765294923,0.004731124,1.620257121,-3.328186916,0.006068253,4.789947411,0.006819216,1.592467926,0.005926074,0.009299007,3.707331887,4.612992101,4.40145168
2004Q4,4.775922261,0.010018869,1.676509622,-3.338205785,0.005071951,4.804098008,0.00377333,1.640074008,0.006594394,0.008650421,3.800573136,4.575555094,4.461927736
2005Q1,4.800999238,0.005199953,1.684026846,-3.343405738,0.005800925,4.816122999,0.005590822,1.687499291,0.006881229,0.008775621,3.868119682,4.594459875,4.566599141
2005Q2,4.804382468,0.008410479,1.635175493,-3.351816217,0.005733743,4.834640794,0.005111442,1.686332836,0.007187938,0.008333259,3.966141869,4.596789742,4.568212798
2005Q3,4.818188773,0.009336513,1.681225953,-3.370583021,0.005979582,4.851108241,0.008581636,1.764921713,0.007519512,0.00845209,4.124342777,4.61306936,4.592817638
2005Q4,4.83403126,0.008592254,1.640113834,-3.375718933,0.007022522,4.869705201,0.010698295,1.802470394,0.008682435,0.009043733,4.056388747,4.616177514,4.688036002
2006Q1,4.854210486,0.010474728,1.668012952,-3.401138751,0.007260217,4.885838082,0.0045388,1.875970407,0.008991075,0.009124036,4.137619915,4.645047471,4.849329572
2006Q2,4.860620329,0.011976191,1.666281608,-3.431922006,0.007637151,4.898129273,0.007218012,1.864519775,0.009303547,0.009986417,4.254297315,4.690627346,5.057351078
2006Q3,4.873617981,0.003853569,1.683318,-3.427866084,0.008380453,4.912024411,0.005431354,1.867647053,0.009846621,0.009746737,4.256660823,4.70737469,5.105682901
2006Q4,4.885934348,0.003519441,1.771807269,-3.450123791,0.008482777,4.933640532,0.006284875,1.956136146,0.009609096,0.009420744,4.10497013,4.71098121,5.164783737
2007Q1,4.904058238,0.00668473,1.928176371,-3.491983544,0.008400599,4.954242047,0.004927904,1.994378825,0.009501328,0.009665727,4.07087719,4.763474814,5.171520279
2007Q2,4.919318269,0.000634317,2.030097319,-3.50779447,0.008333709,4.969001762,0.009021979,2.057449,0.009368695,0.010155103,4.228894559,4.76564641,5.306093194
2007Q3,4.935845284,0.006951055,2.008099565,-3.509741474,0.008575396,4.983240672,0.011170996,2.070036813,0.009475651,0.010187039,4.312753724,4.695264449,5.213702893
2007Q4,4.958030352,0.007528266,2.0570996,-3.546552645,0.008450553,4.998750845,0.014304057,2.068022332,0.008864241,0.009842318,4.484965725,4.72447496,5.145935059
2008Q1,4.977700712,0.010259689,2.008476561,-3.599941816,0.008295823,5.012006416,0.016138646,1.922942216,0.00861068,0.009145,4.568966412,4.755804937,5.247544008
2008Q2,4.983760012,0.022630935,1.897628821,-3.618512084,0.00845297,5.015036949,0.014160274,1.916297671,0.008780668,0.009746218,4.811408447,4.77205288,5.25694211
2008Q3,4.986458214,0.04030175,1.70587803,-3.618791068,0.008438469,5.018745696,0.010246246,1.77660427,0.009486024,0.009720971,4.760607316,4.776079383,5.168691704
2008Q4,4.960091216,-0.015808292,1.481688766,-3.545162982,0.008150677,5.004129215,-0.005093615,1.387802671,0.006696137,0.00850144,4.045485032,4.609264504,4.773856519
2009Q1,4.918927567,-0.010679425,1.544521613,-3.514161803,0.005872973,4.983901255,-0.002233119,1.357730728,0.005067896,0.007542816,3.820999316,4.455411965,4.679188477
2009Q2,4.945111693,-0.000895122,1.687342222,-3.53674316,0.004700532,5.005489645,0.001562504,1.518067205,0.004317061,0.0082943,4.089799869,4.447383628,4.792497504
2009Q3,4.976646689,0.004170396,1.832109509,-3.551939047,0.004859137,5.026753997,0.00772082,1.6695237,0.004082374,0.00846366,4.233543928,4.58620776,5.016403804
2009Q4,5.002326195,0.005632148,1.887037926,-3.585629882,0.004890192,5.044043337,0.007935673,1.698563138,0.004004136,0.00835657,4.324734166,4.664384638,5.117805689
